market_id,reference_id,status
1019676,268a80c2-c4ce-4768-b89a-d5083ad5a450,www.facebook.com/AdamsCountyFarmersMarket
1019676,87b4577e-e26a-47a6-8a32-b6bd1a56c06b,@ACFarmFresh
1019676,a2af1d35-6709-4551-a3a6-a161bfd74966,
1019676,f07ddbf1-8408-450e-bacb-174c1716fc81,
1019351,3232b375-3959-4e3a-9dd0-2c2d98cb1776,http://www.acfarmersmarkets.org
1019351,268a80c2-c4ce-4768-b89a-d5083ad5a450,www.facebook.com/AdamsCountyFarmersMarket
1019351,87b4577e-e26a-47a6-8a32-b6bd1a56c06b,https://twitter.com/ACFarmFresh
1019351,a2af1d35-6709-4551-a3a6-a161bfd74966,
1019351,f07ddbf1-8408-450e-bacb-174c1716fc81,www.instagram.com/adamscountyfarmersmarket
1019847,3232b375-3959-4e3a-9dd0-2c2d98cb1776,
1019847,268a80c2-c4ce-4768-b89a-d5083ad5a450,https://www.facebook.com/FarmersAtAdamsRicciParkEast/
1019847,87b4577e-e26a-47a6-8a32-b6bd1a56c06b,@adamsriccifm
1019847,a2af1d35-6709-4551-a3a6-a161bfd74966,n/a
1019847,f07ddbf1-8408-450e-bacb-174c1716fc81,https://www.instagram.com/adamsriccifarmersmarket/
1008961,3232b375-3959-4e3a-9dd0-2c2d98cb1776,http://www.adaptationsaloha.com
1008961,268a80c2-c4ce-4768-b89a-d5083ad5a450,https://www.facebook.com/adaptationsaloha
1008961,87b4577e-e26a-47a6-8a32-b6bd1a56c06b,https://twitter.com/MaureenDatta
1008961,a2af1d35-6709-4551-a3a6-a161bfd74966,
1008961,f07ddbf1-8408-450e-bacb-174c1716fc81,http://instagram.com/adaptationskona
1019203,3232b375-3959-4e3a-9dd0-2c2d98cb1776,http://AGFarmersMarket.com
1019203,268a80c2-c4ce-4768-b89a-d5083ad5a450,http://www.facebook.com/AGFarmersMarket
1019203,87b4577e-e26a-47a6-8a32-b6bd1a56c06b,http://twitter.com/AGFarmMarket
1019203,a2af1d35-6709-4551-a3a6-a161bfd74966,
1019203,f07ddbf1-8408-450e-bacb-174c1716fc81,http://www.instagram.com/agfarmersmarket
1012233,3232b375-3959-4e3a-9dd0-2c2d98cb1776,http://www.agricenter.org/farmersmarket/
1012233,268a80c2-c4ce-4768-b89a-d5083ad5a450,https://www.facebook.com/farmersmarketmemphis/
1012233,87b4577e-e26a-47a6-8a32-b6bd1a56c06b,https://twitter.com/Agricenter_Intl
1012233,a2af1d35-6709-4551-a3a6-a161bfd74966,https://www.youtube.com/channel/UCGksUsmHEJonFv5cwivsjZA
1012233,f07ddbf1-8408-450e-bacb-174c1716fc81,https://www.instagram.com/agricenterinternational/
1005258,3232b375-3959-4e3a-9dd0-2c2d98cb1776,http://www.honolulu.gov/parks/programs/pom
1005258,268a80c2-c4ce-4768-b89a-d5083ad5a450,
1005258,87b4577e-e26a-47a6-8a32-b6bd1a56c06b,
1005258,a2af1d35-6709-4551-a3a6-a161bfd74966,
1005258,f07ddbf1-8408-450e-bacb-174c1716fc81,
1008054,3232b375-3959-4e3a-9dd0-2c2d98cb1776,
1008054,268a80c2-c4ce-4768-b89a-d5083ad5a450,https://www.facebook.com/airportfarmersandfleamarket
1008054,87b4577e-e26a-47a6-8a32-b6bd1a56c06b,
1008054,a2af1d35-6709-4551-a3a6-a161bfd74966,
1008054,f07ddbf1-8408-450e-bacb-174c1716fc81,
1008612,3232b375-3959-4e3a-9dd0-2c2d98cb1776,http://www.441market.com
1008612,268a80c2-c4ce-4768-b89a-d5083ad5a450,https://www.facebook.com/441acfmarket
1008612,87b4577e-e26a-47a6-8a32-b6bd1a56c06b,
1008612,a2af1d35-6709-4551-a3a6-a161bfd74966,
1008612,f07ddbf1-8408-450e-bacb-174c1716fc81,http://pinterest.com/441market
